"Referee","Apps","Fouls_pg","Fouls_Tackles","Pen_pg","Y_pg","R_pg"
"Anthony Taylor",5,13.33,0.8,0,2.33,0.17
"Chris Kavanagh",6,11.5,0.56,0,1.5,0
"Paul Tierney",5,13.4,0.73,0,1.4,0
"Andy Madley",5,14,0.78,0.2,1.8,0
"Michael Oliver",4,10.25,0.49,0,1.5,0
"Simon Hooper",4,13,0.79,0,2,0.5
"Stuart Attwell",2,6,0.4,0,0,0
"Craig Pawson",2,10,0.8,0,0.5,0
"Tim Robinson",1,11,0.5,0,3,0
"David Coote",1,20,1.05,0,5,0
"John Brooks",1,10,0.83,0,2,1
"Thomas Bramall",1,11,0.73,0,1,1
